,,#DIV/0!
,,#DIV/0!
0,8,0.0%
0,37,0.0%
1,57,1.8%
15,204,7.4%
0,49,0.0%
0,23,0.0%
0,99,0.0%
1,180,0.6%
5,202,2.5%
5,65,7.7%
0,15,0.0%
3,95,3.2%
5,392,1.3%
0,5,0.0%
1,111,0.9%
,,#DIV/0!
,,#DIV/0!
3,113,2.7%
,,#DIV/0!
0,3,0.0%
,,#DIV/0!
1,36,2.8%
0,35,0.0%
,,#DIV/0!
,,#DIV/0!
,,#DIV/0!
,,#DIV/0!
,,#DIV/0!
,,#DIV/0!
,,#DIV/0!
0,3,0.0%
4,28,14.3%
0,2,0.0%
,,#DIV/0!
0,2,0.0%
,,#DIV/0!
,,#DIV/0!
,,#DIV/0!
,,#DIV/0!
,,#DIV/0!
,,#DIV/0!
,,#DIV/0!
,,#DIV/0!
,,#DIV/0!
,,#DIV/0!
,,#DIV/0!
,,#DIV/0!
,,#DIV/0!
,,#DIV/0!
,,#DIV/0!
,,#DIV/0!
,,#DIV/0!
,,#DIV/0!
,,#DIV/0!
,,#DIV/0!
,,#DIV/0!
,,#DIV/0!
,,#DIV/0!
,,#DIV/0!
,,#DIV/0!
,,#DIV/0!
,,#DIV/0!
,,#DIV/0!
,,#DIV/0!
,,#DIV/0!
44,1764,2.5%
